#UID	CUI
2249	C0005454
2254	C0005492
2255	C0005496
2265	C0005568
2266	C0005591
2272	C0005640
2277	C0005681
2278	C0005686
2279	C0005687
2281	C0005699
2287	C0005745
2288	C0005754
2302	C0005887
2305	C0005911
2309	C0005941
2311	C0005956
2323	C0006023
2325	C0006035
2328	C0006055
2332	C0006084
2335	C0006105
2337	C0006114
2340	C0006119
2342	C0006131
2345	C0006160
2352	C0006213
2356	C0006226
2358	C0006233
2361	C0006266
2368	C0006351
2370	C0006353
2372	C0006389
2373	C0006396
2374	C0006403
2375	C0006404
2377	C0006413
2379	C0006433
2384	C0006461
2385	C0006462
2386	C0006463
2387	C0006464
2390	C0006493
2392	C0006507
2394	C0006536
2403	C0006644
2404	C0006666
2405	C0006668
2408	C0006686
2409	C0006694
2410	C0006695
2411	C0006700
2412	C0006701
2421	C0006809
2422	C0006812
2426	C0006845
2427	C0006846
2429	C0006881
2430	C0006882
2443	C0006980
2444	C0006992
2446	C0006995
2455	C0003886
2458	C0003907
2462	C0003949
2464	C0003960
2466	C0004011
2468	C0004044
2469	C0004045
2470	C0004046
2473	C0004106
2474	C0004110
2478	C0004138
2484	C0004221
2485	C0004259
2487	C0004277
2492	C0004303
2494	C0004320
2495	C0004322
2496	C0004331
2502	C0004382
2505	C0004421
2513	C0004472
2523	C0004576
2530	C0004604
2531	C0004606
2534	C0004632
2539	C0004681
2540	C0004692
2548	C0004743
2551	C0004763
2554	C0004779
2559	C0004847
2562	C0004903
2563	C0004905
2564	C0004906
2566	C0004924
2568	C0004943
2569	C0004945
2571	C0004975
2572	C0004994
2573	C0005001
2574	C0005018
2577	C0005026
2579	C0005043
2582	C0005064
2584	C0005096
2586	C0005098
2592	C0005116
2593	C0005117
2601	C0005185
2610	C0005261
2611	C0005283
2612	C0005285
2614	C0005301
2615	C0005304
2616	C0005307
2617	C0005313
2619	C0005330
2627	C0005416
2628	C0005417
2635	C0005499
2637	C0005525
2646	C0005575
2649	C0005586
2652	C0005632
2653	C0005633
2654	C0005647
2659	C0005662
2661	C0005689
2662	C0005690
2665	C0005717
2669	C0005743
2670	C0005744
2679	C0005836
2685	C0005859
2687	C0005866
2696	C0005937
2699	C0005944
2700	C0005959
2701	C0005967
2702	C0005985
2714	C0006044
2718	C0006075
